LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1981,3.789981067,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1984,4.354539012,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1985,4.360269255,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1986,4.990159006,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1987,5.087864356,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1988,5.308537163,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1990,5.562590676,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1992,6.87354558,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1994,7.091366266,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1996,7.353907956,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,1998,7.358484846,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,2000,7.384798469,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,2002,7.870242796,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,2004,8.389636061,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,2006,8.508160032,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,2008,8.612221724,
AUS,RESEARCHER,TOT,1000EMPLOYED,A,2010,9.033941957,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,1981,1.97919253,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,1985,2.278237843,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,1989,2.551351691,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,1993,3.585971721,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,1998,5.107569873,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2002,6.384773368,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2004,6.782446,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2005,7.350977304,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2006,7.409464744,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2007,7.893778051,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2008,8.439032264,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2009,8.522114321,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2010,8.926067722,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2011,8.917406504,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2012,9.440948739,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2013,9.580048202,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2014,10.00657292,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2015,10.16488004,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2016,10.82447084,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2017,10.7679967,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2018,11.16925298,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2019,11.62774748,
AUT,RESEARCHER,TOT,1000EMPLOYED,A,2020,11.61611926,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1981,3.365277998,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1982,3.586712314,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1983,3.639936042,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1984,3.76652221,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1985,3.974096613,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1986,4.205157041,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1987,4.272400479,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1988,4.357477553,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1989,4.557800253,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1991,4.637076119,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1993,5.438301157,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1994,5.871219708,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1995,6.024740445,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1996,6.478408603,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1997,6.724768787,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1998,6.943131873,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,1999,7.379939661,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2000,7.431110543,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2001,7.737813292,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2002,7.344769901,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2003,7.411156925,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2004,7.690755543,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2005,7.756538074,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2006,8.071210672,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2007,8.266403551,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2008,8.223819934,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2009,8.562465224,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2010,9.088018497,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2011,9.375101228,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2012,9.972224652,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2013,10.16759189,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2014,11.10285764,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2015,11.51687097,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2016,11.60970184,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2017,11.367002,
BEL,RESEARCHER,TOT,1000EMPLOYED,A,2018,11.92754858,
